t=2026-05-13T12:07:02+0700 lvl=info msg="no configuration paths supplied"
t=2026-05-13T12:07:02+0700 lvl=info msg="using configuration at default config path" path=C:\\Users\\admin\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-05-13T12:07:02+0700 lvl=info msg="open config file" path=C:\\Users\\admin\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-05-13T12:07:02+0700 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-05-13T12:07:02+0700 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-05-13T12:07:03+0700 lvl=info msg="client session established" obj=tunnels.session
t=2026-05-13T12:07:03+0700 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-05-13T12:17:24+0700 lvl=info msg="join connections" obj=join id=77267c337be5 l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:17:33+0700 lvl=info msg="join connections" obj=join id=d3934adbecd2 l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:17:43+0700 lvl=info msg="join connections" obj=join id=784b06fcfdcc l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:17:47+0700 lvl=info msg="join connections" obj=join id=9ba6a3a2ead4 l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:18:03+0700 lvl=info msg="join connections" obj=join id=c530059e95d3 l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:18:23+0700 lvl=info msg="join connections" obj=join id=bdde71ff392b l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:18:42+0700 lvl=info msg="join connections" obj=join id=f769ea34f3a7 l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:18:42+0700 lvl=info msg="join connections" obj=join id=0de0b5257a63 l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:18:43+0700 lvl=info msg="join connections" obj=join id=4b467df1fb68 l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:18:43+0700 lvl=info msg="join connections" obj=join id=c7a5a82d64bc l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:18:51+0700 lvl=info msg="join connections" obj=join id=0ba661e7ab55 l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:18:51+0700 lvl=info msg="join connections" obj=join id=25e574956b3c l=[::1]:5000 r=[2001:ee0:50e5:2030:48d6:ef15:9bf9:3ec]:63699
t=2026-05-13T12:19:02+0700 lvl=info msg="join connections" obj=join id=0ea758002b98 l=[::1]:5000 r=101.99.45.158:56332
t=2026-05-13T12:19:02+0700 lvl=info msg="join connections" obj=join id=5a965348c118 l=[::1]:5000 r=101.99.45.158:56332
